Model,Accuracy,F1 Macro,Improvement
Baseline (Linear SVM),0.8857,0.8589,0.0
DistilBERT,0.9041106298913456,0.8829500314762146,1.8410629891345565
MuRIL,0.9041866119595775,0.8830105350041793,1.848661195957746
