model,accuracy,f1_macro,f1_weighted,roc_auc,training_time
Linear SVM,0.8857229693792265,0.8588704661669165,0.8834763583037939,,2.1783077716827393
Naive Bayes,0.7139275131069067,0.6773495382716668,0.7090379362049881,0.8760778505858123,0.01503443717956543
Gradient Boosting,0.7543499734062761,0.6766637622323574,0.735413943373858,0.8855896019759077,114.8605785369873
Random Forest,0.7313274067320112,0.5859311539752189,0.6886492106510177,0.8812724472984304,2.164618492126465
